"mapped_by","year","reporter_fao","reporter_name","flow","hs_chap","hs","hs_extend","fcl","details","tl_description"
"T",2000,136,"Mauritania",1,7,"701310000",70131000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,7,"701400100",70140010000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,7,"701400200",70140020000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,7,"701450100",70145010000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,7,"701450200",70145020000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,7,"701600000",70160000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,7,"701650000",70165000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,7,"704000000",70400000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,7,"705100000",70510000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,8,"801010000",80101000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,8,"801090000",80109000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,8,"801400000",80140000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,8,"801650000",80165000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,8,"802010000",80201000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,8,"802020000",80202000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,8,"802030000",80203000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,8,"802090000",80209000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,8,"802100000",80210000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,8,"803009000",80300900000,604,"Trademap TL description","Bananes, y.c. les plantains, fraîches ou sèches: Bananes seches"
"T",2000,136,"Mauritania",1,8,"809000000",80900000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,8,"812000000",81200000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,9,"901820000",90182000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,9,"904010000",90401000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",2,41,"4102130000",410213000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"K",2000,154,"Macedonia",1,1,"1060000501",1060000501,1171,"Country TL description","Other live animals"
"K",2000,154,"Macedonia",1,1,"1060000601",1060000601,1171,"Country TL description","Other live animals"
"K",2000,154,"Macedonia",1,1,"1060000901",1060000901,1171,"Country TL description","Other live animals"
"K",2000,154,"Macedonia",1,20,"20097000001",20097000001,519,"Country TL description, subsequent data series (majority of apple juice imports in closest subsequent years are concentrated AJ) (could also be mapped to 518)","Apple juice"
"K",2000,154,"Macedonia",1,2,"2071400001",2071400001,1058,"Trademap TL description, Old SWS series (could also be mapped to 1059)","frozen cuts and edible offals of fowls of the species gallus domesticus"
"K",2000,154,"Macedonia",1,2,"2072700001",2072700001,1080,"Trademap TL description, Old SWS series (could also be mapped to 1081)","Frozen cuts and edible offal of turkeys of the species domesticus"
"M",2000,154,"Macedonia",1,23,"23024000001",23024000001,112,"Trademap TL description","Bran, sharps and other residues of cereals, whether or not in the form of pellets, derived . . ."
"M",2000,154,"Macedonia",1,23,"23099000111",23099000111,843,"Trademap TL description, Old SWS series (could also be mapped to various and sundry other animal feeds)","Preparations of a kind used in animal feeding"
"M",2000,154,"Macedonia",1,23,"23099000191",23099000191,843,"Trademap TL description, Old SWS series (could also be mapped to various and sundry other animal feeds)","Preparations of a kind used in animal feeding"
"M",2000,154,"Macedonia",1,23,"23099000201",23099000201,843,"Trademap TL description, Old SWS series (could also be mapped to various and sundry other animal feeds)","Preparations of a kind used in animal feeding"
"M",2000,154,"Macedonia",1,23,"23099000301",23099000301,843,"Trademap TL description, Old SWS series (could also be mapped to various and sundry other animal feeds)","Preparations of a kind used in animal feeding"
"M",2000,154,"Macedonia",1,23,"23099000901",23099000901,843,"Trademap TL description, Old SWS series (could also be mapped to various and sundry other animal feeds)","Preparations of a kind used in animal feeding"
"K",2000,154,"Macedonia",2,1,"106000040",106000040,1171,"Country TL description","Other live animals"
"K",2000,154,"Macedonia",2,1,"106000050",106000050,1171,"Country TL description","Other live animals"
"K",2000,154,"Macedonia",2,20,"2009700000",2009700000,519,"Country TL description, subsequent data series (majority of apple juice imports in closest subsequent years are concentrated AJ) (could also be mapped to 518)","Apple juice"
"K",2000,154,"Macedonia",2,2,"207140000",207140000,1058,"Trademap TL description (could also be mapped to 1059)","Frozen cuts and edible offal of fowls of the species Gallus domesticus"
