"Year","hs","reporter","flow","QTY","hs6","HSLength"
2014,"170191000",112,1,3900,"170191",9
2014,"170199100",112,1,324126973,"170199",9
2014,"170199900",112,1,340714,"170199",9
2014,"170211000",112,1,73224,"170211",9
2014,"170219000",112,1,87078,"170219",9
2014,"170220000",112,1,3300,"170220",9
2014,"170230000",112,1,7318766,"170230",9
2014,"170240000",112,1,1228200,"170240",9
2014,"170250000",112,1,27470,"170250",9
2014,"170260000",112,1,97012,"170260",9
2014,"170290100",112,1,6750,"170290",9
2014,"170290300",112,1,47830,"170290",9
2014,"170290900",112,1,126550,"170290",9
2014,"170310000",112,1,34703,"170310",9
2014,"170390100",112,1,15515198,"170390",9
2014,"170390900",112,1,0,"170390",9
2014,"170410000",112,1,2124272,"170410",9
2014,"170490100",112,1,3000,"170490",9
2014,"170490200",112,1,4432,"170490",9
2014,"170490900",112,1,13677211,"170490",9
2014,"180310200",112,1,307000,"180310",9
2014,"180310900",112,1,4200,"180310",9
2014,"180400000",112,1,196875,"180400",9
2014,"180500100",112,1,1545850,"180500",9
2014,"180500900",112,1,428281,"180500",9
2014,"180610000",112,1,457228,"180610",9
2014,"180620100",112,1,118940,"180620",9
2014,"180620900",112,1,171464,"180620",9
2014,"180631000",112,1,3518774,"180631",9
2014,"180632000",112,1,612200,"180632",9
2014,"180690000",112,1,6756551,"180690",9
2014,"190110300",112,1,2911605,"190110",9
2014,"190110900",112,1,1545394,"190110",9
2014,"190120100",112,1,51471,"190120",9
2014,"190120900",112,1,1201031,"190120",9
2014,"190190100",112,1,39057,"190190",9
2014,"190190300",112,1,24491,"190190",9
2014,"190190900",112,1,3356495,"190190",9
2014,"190211000",112,1,469930,"190211",9
2014,"190219000",112,1,11214800,"190219",9
2014,"190220000",112,1,30226,"190220",9
2014,"190230000",112,1,7182707,"190230",9
2014,"190240000",112,1,28884,"190240",9
2014,"190300000",112,1,482649,"190300",9
2014,"190410000",112,1,2002534,"190410",9
2014,"190420000",112,1,404916,"190420",9
2014,"190430000",112,1,7328292,"190430",9
2014,"190490100",112,1,2369539,"190490",9
2014,"190490900",112,1,214737,"190490",9
2014,"190510000",112,1,15445,"190510",9
2014,"190531100",112,1,2854,"190531",9
2014,"190531900",112,1,13745407,"190531",9
2014,"190532000",112,1,8345882,"190532",9
2014,"190540100",112,1,907460,"190540",9
2014,"190540900",112,1,665190,"190540",9
2014,"190590300",112,1,479040,"190590",9
2014,"190590400",112,1,5463,"190590",9
2014,"190590900",112,1,4036642,"190590",9
2014,"200110000",112,1,500820,"200110",9
2014,"200190900",112,1,1860023,"200190",9
2014,"200210000",112,1,842281,"200210",9
2014,"200290100",112,1,1542480,"200290",9
2014,"200290900",112,1,5162298,"200290",9
2014,"200310000",112,1,2100310,"200310",9
2014,"200390000",112,1,1374456,"200390",9
2014,"200410000",112,1,29356173,"200410",9
2014,"200490000",112,1,569810,"200490",9
2014,"200510000",112,1,193182,"200510",9
2014,"200520100",112,1,18260,"200520",9
2014,"200520900",112,1,3031,"200520",9
2014,"200540000",112,1,471538,"200540",9
2014,"200551000",112,1,637239,"200551",9
2014,"200559000",112,1,23220,"200559",9
2014,"200560000",112,1,2943,"200560",9
2014,"200570000",112,1,2576352,"200570",9
2014,"200580000",112,1,5002711,"200580",9
2014,"200599100",112,1,35530,"200599",9
2014,"200599910",112,1,2149853,"200599",9
2014,"200599920",112,1,560976,"200599",9
2014,"200599990",112,1,205249,"200599",9
2014,"200600000",112,1,146035,"200600",9
2014,"200710000",112,1,1430046,"200710",9
2014,"200791000",112,1,9582,"200791",9
2014,"200799000",112,1,1487117,"200799",9
2014,"200811100",112,1,708245,"200811",9
2014,"200811900",112,1,713529,"200811",9
2014,"200819100",112,1,44852,"200819",9
2014,"200819900",112,1,114060,"200819",9
2014,"200820000",112,1,1532599,"200820",9
2014,"200830000",112,1,113578,"200830",9
2014,"200840000",112,1,5393,"200840",9
2014,"200850900",112,1,54516,"200850",9
2014,"200860000",112,1,21028,"200860",9
2014,"200870100",112,1,78752,"200870",9
2014,"200870900",112,1,201677,"200870",9
2014,"200880900",112,1,305525,"200880",9
2014,"200891000",112,1,16643,"200891",9
2014,"200893900",112,1,109455,"200893",9
2014,"200897000",112,1,220050,"200897",9
2014,"200899200",112,1,1493159,"200899",9
2014,"200899900",112,1,845332,"200899",9
2014,"200911100",112,1,520070,"200911",9
2014,"200911900",112,1,188706,"200911",9
2014,"200912100",112,1,13500,"200912",9
2014,"200912900",112,1,531737,"200912",9
2014,"200919100",112,1,256140,"200919",9
2014,"200919900",112,1,254319,"200919",9
2014,"200921900",112,1,19170,"200921",9
2014,"200929100",112,1,5520,"200929",9
2014,"200929900",112,1,77388,"200929",9
2014,"200931100",112,1,54138,"200931",9
2014,"200931900",112,1,34692,"200931",9
2014,"200939100",112,1,11622,"200939",9
