"hs2012_code","ex_code","faostat_code","faostat_name","unit"
"040150",NA,1130,"MILK OF CAMEL","MT"
"040210",NA,898,"MILK SKIMMED DRY","MT"
"040221",NA,897,"MILK WHOLE DRIED","MT"
"040229",NA,897,"MILK WHOLE DRIED","MT"
"040291",NA,894,"MILK WHOLE EVP","MT"
"040291",NA,895,"MILK SKIMMED EVP","MT"
"040299",NA,889,"MILK WHOLE COND","MT"
"040299",NA,896,"MILK SKIMMED COND","MT"
"040310",NA,891,"YOGHURT","MT"
"040310",NA,892,"yogh conc.or not","MT"
"040390",NA,893,"butterm.,curdl, acid.milk","MT"
"040390",NA,899,"MILKDRY BUTTRMILK","MT"
"040410",NA,890,"WHEY CONDENSED","MT"
"040410",NA,900,"WHEY DRY","MT"
"040410",NA,903,"WHEY FRESH","MT"
"040490",NA,909,"prod.of nat.milk constit","MT"
"040510",NA,886,"BUTTER COW MILK","MT"
"040510",NA,952,"BUTTER OF BUFMILK","MT"
"040510",NA,983,"BUTTER,GHEE OF SHEEP MILK","MT"
"040510",NA,1022,"BUTTER OF GOAT MLK","MT"
"040520",NA,886,"BUTTER COW MILK","MT"
"040520",NA,952,"BUTTER OF BUFMILK","MT"
"040520",NA,983,"BUTTER,GHEE OF SHEEP MILK","MT"
"040520",NA,1022,"BUTTER OF GOAT MLK","MT"
"040590",NA,887,"GHEE,BUTTEROIL OF COW MILK","MT"
"040590",NA,953,"GHEE OIL OF BUF","MT"
"040590",NA,1022,"BUTTER OF GOAT MLK","MT"
"040610",NA,901,"CHEESE OF WHOLE COW MILK","MT"
"040610",NA,904,"CHEESE OF SKIMMED COW MILK","MT"
"040610",NA,905,"WHEY CHEESE","MT"
"040610",NA,955,"CHEESE OF BUFMILK","MT"
"040610",NA,984,"CHEESE OF SHMILK","MT"
"040610",NA,1021,"CHEESE OF GOAT MLK","MT"
"040620",NA,901,"CHEESE OF WHOLE COW MILK","MT"
"040630",NA,907,"PROCESSED CHEESE","MT"
"040640",NA,901,"CHEESE OF WHOLE COW MILK","MT"
"040690",NA,901,"CHEESE OF WHOLE COW MILK","MT"
"040711",NA,1062,"HEN EGGS","MT"
"040719",NA,1091,"EGGS EXCL HENEGGS","MT"
"040721",NA,1062,"HEN EGGS","MT"
"040729",NA,1091,"EGGS EXCL HENEGGS","MT"
"040790",NA,1062,"HEN EGGS","MT"
"040790",NA,1091,"EGGS EXCL HENEGGS","MT"
"040811",NA,1064,"EGGS DRIED","MT"
"040819",NA,1063,"EGGS LIQUID","MT"
"040891",NA,1064,"EGGS DRIED","MT"
"040899",NA,1063,"EGGS LIQUID","MT"
"040900",NA,1182,"HONEY NATURAL","MT"
"041000",NA,1232,"FOOD PREP NES","Mt"
"050100",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"050210",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"050290",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"050400",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"050510",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"050590",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"050610",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"050690",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"050710",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"050790",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"050800",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"051000",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"051110",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"051191",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"051199",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060110",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060120",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060210",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060220",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060230",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060240",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060290",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060311",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060312",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060313",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060314",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060315",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060319",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060390",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060420",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"060490",NA,1293,"CRUDE MATERIALS","$ VALUE only"
"070110",NA,116,"POTATOES","MT"
"070190",NA,116,"POTATOES","MT"
"070200",NA,388,"TOMATOES FRESH","MT"
"070310",NA,402,"ONIONS; SHALLOTS GREEN","MT"
"070310",NA,403,"ONIONS DRY","MT"
"070320",NA,406,"GARLIC","MT"
"070390",NA,407,"LEEKS AND OTHER ALLIACEOUS VEGETABLES","MT"
"070410",NA,393,"CAULIFLOWER","MT"
"070420",NA,358,"CABBAGES","MT"
"070490",NA,358,"CABBAGES","MT"
"070511",NA,372,"LETTUCE","MT"
"070519",NA,372,"LETTUCE","MT"
"070521",NA,372,"LETTUCE","MT"
"070529",NA,372,"LETTUCE","MT"
"070610",NA,426,"CARROTS","MT"
"070610",NA,463,"VEGETABLES FRESH NES","MT"
"070690",NA,463,"VEGETABLES FRESH NES","MT"
"070700",NA,397,"CUCUMBERS, GHERKINS","MT"
"070810",NA,417,"PEAS GREEN","MT"
"070820",NA,414,"BEANS GREEN","MT"
"070820",NA,423,"STRING BEANS","MT"
"070890",NA,420,"BROADBEANS GREEN","MT"
"070920",NA,367,"ASPARAGUS","MT"
"070930",NA,399,"EGGPLANTS","MT"
"070940",NA,463,"VEGETABLES FRESH NES","MT"
"070951",NA,449,"MUSHROOMS","MT"
"070959",NA,449,"MUSHROOMS","MT"
"070960",NA,401,"CHILLIES,PEPPERS GREEN","MT"
"070970",NA,373,"SPINACH","MT"
"070991",NA,366,"Artichokes ",NA
"070992",NA,260,"OLIVES","MT"
"070993",NA,394,"PUMPKINS,SQUASH, GOURDS","MT"
