hs2012_code,ex_code,faostat_code,faostat_name,unit
70529,,372,LETTUCE,MT
70610,,426,CARROTS,MT
70610,,463,VEGETABLES FRESH NES,MT
70690,,463,VEGETABLES FRESH NES,MT
70700,,397,"CUCUMBERS, GHERKINS",MT
70810,,417,PEAS GREEN,MT
70820,,414,BEANS GREEN,MT
70820,,423,STRING BEANS,MT
70890,,420,BROADBEANS GREEN,MT
70920,,367,ASPARAGUS,MT
70930,,399,EGGPLANTS,MT
70940,,463,VEGETABLES FRESH NES,MT
70951,,449,MUSHROOMS,MT
70959,,449,MUSHROOMS,MT
70960,,401,"CHILLIES,PEPPERS GREEN",MT
70970,,373,SPINACH,MT
70991,,366,Artichokes ,
70992,,260,OLIVES,MT
70993,,394,"PUMPKINS,SQUASH, GOURDS",MT
70999,,378,CASSAVA LEAVES,MT
70999,,430,OKRA,MT
70999,,446,GREEN CORN (MAIZE),MT
70999,,463,VEGETABLES FRESH NES,MT
71010,,118,FROZEN POTATOES,MT
71021,,473,VEGETABLE FROZEN,MT
71022,,473,VEGETABLE FROZEN,MT
71029,,473,VEGETABLE FROZEN,MT
71030,,473,VEGETABLE FROZEN,MT
71040,,447,SWEET CORN FROZEN,MT
71080,,473,VEGETABLE FROZEN,MT
71090,,473,VEGETABLE FROZEN,MT
71120,,262,OLIVES PRESERVED,MT
71140,,474,VEG.IN TEM. PRESERVATIVES,MT
71151,,474,VEG.IN TEM. PRESERVATIVES,MT
71159,,474,VEG.IN TEM. PRESERVATIVES,MT
71190,,474,VEG.IN TEM. PRESERVATIVES,MT
71220,,469,VEGETABLES DEHYDRATED,MT
71231,,450,DRIED MUSHROOMS,MT
71232,,450,DRIED MUSHROOMS,MT
71233,,450,DRIED MUSHROOMS,MT
71239,,450,DRIED MUSHROOMS,MT
71290,,469,VEGETABLES DEHYDRATED,MT
71310,,187,PEAS DRY,MT
71320,,191,CHICK-PEAS,MT
71331,,176,BEANS DRY,MT
71332,,176,BEANS DRY,MT
71333,,176,BEANS DRY,MT
71334,,203,BAMBARA BEANS,MT
71335,,195,COW PEAS DRY,MT
71339,,176,BEANS DRY,MT
71340,,201,LENTILS,MT
71350,,181,BROAD BEANS DRY,MT
71360,,197,PIGEON PEAS,MT
71390,,211,"PULSES, NES",MT
71410,,125,Cassava,MT
71410,,128,CASSAVA DRIED,MT
71420,,122,SWEET POTATOES,MT
71430,,137,YAMS,MT
71440,,136,TARO (COCOYAM),MT
71450,,135,YAUTIA (COCOYAM),MT
71490,,149,"ROOTS AND TUBERS, NES",MT
71490,,151,ROOTS AND TUBERS DRIED,MT
80111,,250,COCONUTS DESICCATED,MT
80112,,249,COCONUTS,MT
80119,,249,COCONUTS,MT
80121,,216,BRAZIL NUTS IN SHELL,MT
80122,,229,BRAZIL NUTS SHELLED,MT
80131,,217,CASHEW NUTS IN SHELL,MT
80132,,230,CASHEW NUTS SHELLED,MT
