"reporter","flow","hs6","fcl","Year"
141,1,30542,1599,2000
141,1,30543,1599,2000
141,1,30544,1599,2000
141,1,30545,1599,2000
141,1,30546,1599,2000
141,1,30547,1599,2000
141,1,30548,1599,2000
141,1,30549,1599,2000
141,1,30550,1599,2000
141,1,30551,1599,2000
141,1,30552,1599,2000
141,1,30553,1599,2000
141,1,30554,1599,2000
141,1,30555,1599,2000
141,1,30556,1599,2000
141,1,30557,1599,2000
141,1,30558,1599,2000
141,1,30559,1599,2000
141,1,30560,1599,2000
141,1,30561,1599,2000
141,1,30562,1599,2000
141,1,30563,1599,2000
141,1,30564,1599,2000
141,1,30565,1599,2000
141,1,30566,1599,2000
141,1,30567,1599,2000
141,1,30568,1599,2000
141,1,30569,1599,2000
141,1,30570,1599,2000
141,1,30571,1599,2000
141,1,30572,1599,2000
141,1,30573,1599,2000
141,1,30574,1599,2000
141,1,30575,1599,2000
141,1,30576,1599,2000
141,1,30577,1599,2000
141,1,30578,1599,2000
141,1,30579,1599,2000
141,1,30580,1599,2000
141,1,30581,1599,2000
141,1,30582,1599,2000
141,1,30583,1599,2000
141,1,30584,1599,2000
141,1,30585,1599,2000
141,1,30586,1599,2000
141,1,30587,1599,2000
141,1,30588,1599,2000
141,1,30589,1599,2000
141,1,30590,1599,2000
141,1,30591,1599,2000
141,1,30592,1599,2000
141,1,30593,1599,2000
141,1,30594,1599,2000
141,1,30595,1599,2000
141,1,30596,1599,2000
141,1,30597,1599,2000
141,1,30598,1599,2000
141,1,30599,1599,2000
141,1,30600,1599,2000
141,1,30601,1599,2000
141,1,30602,1599,2000
141,1,30603,1599,2000
141,1,30604,1599,2000
141,1,30605,1599,2000
141,1,30606,1599,2000
141,1,30607,1599,2000
141,1,30608,1599,2000
141,1,30609,1599,2000
141,1,30610,1599,2000
141,1,30611,1599,2000
141,1,30612,1599,2000
141,1,30613,1599,2000
141,1,30614,1599,2000
141,1,30615,1599,2000
141,1,30616,1599,2000
141,1,30617,1599,2000
141,1,30618,1599,2000
141,1,30619,1599,2000
141,1,30620,1599,2000
141,1,30621,1599,2000
141,1,30622,1599,2000
141,1,30623,1599,2000
141,1,30624,1599,2000
141,1,30625,1599,2000
141,1,30626,1599,2000
141,1,30627,1599,2000
141,1,30628,1599,2000
141,1,30629,1599,2000
141,1,30630,1599,2000
141,1,30631,1599,2000
141,1,30632,1599,2000
141,1,30633,1599,2000
141,1,30634,1599,2000
141,1,30635,1599,2000
141,1,30636,1599,2000
141,1,30637,1599,2000
141,1,30638,1599,2000
141,1,30639,1599,2000
141,1,30640,1599,2000
141,1,30641,1599,2000
141,1,30642,1599,2000
141,1,30643,1599,2000
141,1,30644,1599,2000
141,1,30645,1599,2000
141,1,30646,1599,2000
141,1,30647,1599,2000
141,1,30648,1599,2000
141,1,30649,1599,2000
141,1,30650,1599,2000
141,1,30651,1599,2000
141,1,30652,1599,2000
141,1,30653,1599,2000
141,1,30654,1599,2000
141,1,30655,1599,2000
141,1,30656,1599,2000
141,1,30657,1599,2000
141,1,30658,1599,2000
141,1,30659,1599,2000
141,1,30660,1599,2000
141,1,30661,1599,2000
141,1,30662,1599,2000
141,1,30663,1599,2000
141,1,30664,1599,2000
141,1,30665,1599,2000
141,1,30666,1599,2000
141,1,30667,1599,2000
141,1,30668,1599,2000
141,1,30669,1599,2000
141,1,30670,1599,2000
141,1,30671,1599,2000
141,1,30672,1599,2000
141,1,30673,1599,2000
141,1,30674,1599,2000
141,1,30675,1599,2000
141,1,30676,1599,2000
141,1,30677,1599,2000
141,1,30678,1599,2000
141,1,30679,1599,2000
141,1,30680,1599,2000
141,1,30681,1599,2000
141,1,30682,1599,2000
141,1,30683,1599,2000
141,1,30684,1599,2000
141,1,30685,1599,2000
141,1,30686,1599,2000
141,1,30687,1599,2000
141,1,30688,1599,2000
141,1,30689,1599,2000
141,1,30690,1599,2000
141,1,30691,1599,2000
141,1,30692,1599,2000
141,1,30693,1599,2000
141,1,30694,1599,2000
141,1,30695,1599,2000
141,1,30696,1599,2000
141,1,30697,1599,2000
141,1,30698,1599,2000
141,1,30699,1599,2000
141,1,30700,1599,2000
141,1,30701,1599,2000
141,1,30702,1599,2000
141,1,30703,1599,2000
141,1,30704,1599,2000
141,1,30705,1599,2000
141,1,30706,1599,2000
141,1,30707,1599,2000
141,1,30708,1599,2000
141,1,30709,1599,2000
141,1,30710,1599,2000
141,1,30711,1599,2000
141,1,30712,1599,2000
141,1,30713,1599,2000
141,1,30714,1599,2000
141,1,30715,1599,2000
141,1,30716,1599,2000
141,1,30717,1599,2000
141,1,30718,1599,2000
141,1,30719,1599,2000
141,1,30720,1599,2000
141,1,30721,1599,2000
141,1,30722,1599,2000
141,1,30723,1599,2000
141,1,30724,1599,2000
141,1,30725,1599,2000
141,1,30726,1599,2000
141,1,30727,1599,2000
141,1,30728,1599,2000
141,1,30729,1599,2000
141,1,30730,1599,2000
141,1,30731,1599,2000
141,1,30732,1599,2000
141,1,30733,1599,2000
141,1,30734,1599,2000
141,1,30735,1599,2000
141,1,30736,1599,2000
141,1,30737,1599,2000
141,1,30738,1599,2000
141,1,30739,1599,2000
141,1,30740,1599,2000
141,1,30741,1599,2000
141,1,30742,1599,2000
141,1,30743,1599,2000
141,1,30744,1599,2000
141,1,30745,1599,2000
141,1,30746,1599,2000
141,1,30747,1599,2000
141,1,30748,1599,2000
141,1,30749,1599,2000
141,1,30750,1599,2000
141,1,30751,1599,2000
141,1,30752,1599,2000
141,1,30753,1599,2000
141,1,30754,1599,2000
141,1,30755,1599,2000
141,1,30756,1599,2000
141,1,30757,1599,2000
141,1,30758,1599,2000
141,1,30759,1599,2000
