"id1","id2","id3","id4","item_sua_fbs"
"2901","2903","2919","2625","01315"
"2901","2903","2919","2625","21419.02"
"2901","2903","2919","2625","01316"
"2901","2903","2919","2625","01311"
"2901","2903","2919","2625","21439.08"
"2901","2903","2919","2625","01359.01"
"2901","2903","2919","2625","01359.02"
"2901","2903","2919","2625","01352"
"2901","2903","2919","2625","01317"
"2901","2903","2919","2625","01319"
"2901","2903","2919","2625","21419.91"
"2901","2903","2919","2625","01359.90"
"2901","2903","2919","2625","21419.99"
"2901","2903","2919","2625","21439.9"
"2901","2903","2919","2625","F0623"
"2901","2903","2919","2625","23170.04"
"2901","2903","2919","2625","23670.02"
"2901","2903","2919","2625","23991.03"
"2901","2903","2922","2630","01610"
"2901","2903","2922","2630","23911"
"2901","2903","2922","2630","23912.02"
"2901","2903","2922","2633","01640"
"2901","2903","2922","2633","23610.01"
"2901","2903","2922","2633","F0665"
"2901","2903","2922","2633","F0666"
"2901","2903","2922","2635","01620"
"2901","2903","2922","2635","01630"
"2901","2903","2922","2635","23914"
"2901","2903","2923","2640","01651"
"2901","2903","2923","2641","01652"
"2901","2903","2923","2642","01656"
"2901","2903","2923","2645","01658"
"2901","2903","2923","2645","01655"
"2901","2903","2923","2645","01653"
"2901","2903","2923","2645","01654"
"2901","2903","2923","2645","01657"
"2901","2903","2923","2645","01699"
"2901","2903","2924","2655","24212.02"
"2901","2903","2924","2655","24220"
"2901","2903","2924","2656","24310.01"
"2901","2903","2924","2657","24230.01"
"2901","2903","2924","2657","24230.02"
"2901","2903","2924","2657","24310.02"
"2901","2903","2924","2657","24310.03"
"2901","2903","2924","2657","24310.04"
"2901","2903","2924","2657","24230.03"
"2901","2903","2924","2658","2413"
"2901","2903","2924","2659","24110"
"2901","2903","2928","2680","23991.01"
"2901","2941","2943","2731","21111.01"
"2901","2941","2943","2731","21111.02"
"2901","2941","2943","2731","21182"
"2901","2941","2943","2731","21185"
"2901","2941","2943","2731","21184.01"
"2901","2941","2943","2731","F0875"
"2901","2941","2943","2731","23991.04"
"2901","2941","2943","2731","21112"
"2901","2941","2943","2732","21115"
"2901","2941","2943","2732","21116"
"2901","2941","2943","2733","21113.01"
"2901","2941","2943","2733","21113.02"
"2901","2941","2943","2733","21181"
"2901","2941","2943","2733","21184.02"
"2901","2941","2943","2733","F1042"
"2901","2941","2943","2734","21121"
"2901","2941","2943","2734","21189.02"
"2901","2941","2943","2734","F1061"
"2901","2941","2943","2734","21122"
"2901","2941","2943","2734","21123"
"2901","2941","2943","2734","21124"
"2901","2941","2943","2735","21170.01"
"2901","2941","2943","2735","21118.01"
"2901","2941","2943","2735","21118.02"
"2901","2941","2943","2735","21118.03"
"2901","2941","2943","2735","21117.01"
"2901","2941","2943","2735","21114"
"2901","2941","2943","2735","21119.01"
"2901","2941","2943","2735","21117.02"
"2901","2941","2943","2735","21170.02"
"2901","2941","2943","2735","21183"
"2901","2941","2943","2735","21170.92"
"2901","2941","2943","2735","F1172"
"2901","2941","2943","2735","02920"
"2901","2941","2945","2736","21151"
"2901","2941","2945","2736","21189.01"
"2901","2941","2945","2736","21152"
"2901","2941","2945","2736","21155"
"2901","2941","2945","2736","21156"
"2901","2941","2945","2736","21153"
"2901","2941","2945","2736","21160.01"
"2901","2941","2945","2736","21160.02"
"2901","2941","2945","2736","21160.03"
"2901","2941","2945","2736","21160.04"
"2901","2941","2945","2736","21159.01"
"2901","2941","2945","2736","21159.02"
"2901","2941","2945","2736","21170.93"
"2901","2941","2946","2737","21512"
"2901","2941","2946","2737","21512.01"
"2901","2941","2946","2737","21513"
"2901","2941","2946","2737","21514"
"2901","2941","2946","2737","F0994"
"2901","2941","2946","2737","21515"
"2901","2941","2946","2737","21511.01"
"2901","2941","2946","2737","21511.02"
"2901","2941","2946","2737","21521"
"2901","2941","2946","2737","21511.03"
"2901","2941","2946","2737","21522"
"2901","2941","2946","2737","21519.02"
"2901","2941","2946","2737","21519.03"
"2901","2941","2946","2737","21529.03"
"2901","2941","2946","2737","21529.02"
"2901","2941","2946","2737","21932.01"
"2901","2941","2946","2737","21523"
"2901","2941","2946","2737","F1243"
"2901","2941","2946","2740","22241.01"
"2901","2941","2946","2740","22241.02"
"2901","2941","2946","2740","22242.01"
"2901","2941","2946","2740","22242.02"
"2901","2941","2946","2740","22249.01"
"2901","2941","2946","2740","22249.02"
"2901","2941","2946","2743","22120"
"2901","2941","2949","2744","23993.01"
"2901","2941","2949","2744","0231"
"2901","2941","2949","2744","23993.02"
"2901","2941","2949","2744","23993.03"
"2901","2941","2949","2744","0232"
"2901","2903","2909","2745","02910"
"2901","2903","2905","2805","0113"
"2901","2903","2905","2805","23162"
"2901","2903","2905","2805","23161.01"
"2901","2903","2905","2805","23161.02"
"2901","2903","2905","2805","23161.03"
"2901","2903","2905","2805","39130.01"
"2901","2903","2905","2805","23220.03"
"2901","2903","2905","2805","39120.02"
"2901","2903","2905","2805","23120.01"
"2901","2941","2948","2848","02211"
"2901","2941","2948","2848","22110.02"
"2901","2941","2948","2848","22222.01"
"2901","2941","2948","2848","22130.03"
"2901","2941","2948","2848","22230.01"
"2901","2941","2948","2848","22230.02"
"2901","2941","2948","2848","22230.03"
"2901","2941","2948","2848","22221.01"
"2901","2941","2948","2848","22221.02"
"2901","2941","2948","2848","22222.02"
"2901","2941","2948","2848","22211"
"2901","2941","2948","2848","22212"
"2901","2941","2948","2848","22230.04"
"2901","2941","2948","2848","22130.02"
"2901","2941","2948","2848","22251.01"
"2901","2941","2948","2848","22130.01"
"2901","2941","2948","2848","22251.02"
"2901","2941","2948","2848","22251.03"
"2901","2941","2948","2848","22251.04"
"2901","2941","2948","2848","22110.03"
"2901","2941","2948","2848","22290"
"2901","2941","2948","2848","22270"
"2901","2941","2948","2848","22260"
"2901","2941","2948","2848","02212"
"2901","2941","2948","2848","22110.04"
"2901","2941","2948","2848","22252"
"2901","2941","2948","2848","02291"
"2901","2941","2948","2848","22253"
"2901","2941","2948","2848","22110.05"
"2901","2941","2948","2848","02292"
"2901","2941","2948","2848","22254"
"2901","2941","2948","2848","22110.06"
"2901","2941","2948","2848","02293"
"","","","",""
"2901","2903","2919","2625","21499.01"
"2901","2903","2918","2605","01990.01"
"2901","2903","2922","2635","23913"
