"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"894","281","23110","2014",1081.656871,"T","i"
"894","281","23110","2013",1370.89296,"T","i"
"894","281","23110","2012",2279.89232,"T","i"
"894","281","23110","2011",1917.53264,"T","i"
"894","281","23110","2010",1495.83568,"T","i"
"894","664","23110","2022",65.369002,"T","i"
"894","664","23110","2021",70.885557,"T","i"
"894","664","23110","2020",73.718975,"T","i"
"894","664","23110","2019",53.67128,"T","i"
"894","664","23110","2018",58.341987,"T","i"
"894","664","23110","2017",85.735453,"T","i"
"894","664","23110","2016",63.214242,"T","i"
"894","664","23110","2015",102.865831,"T","i"
"894","664","23110","2014",40.602421,"T","i"
"894","664","23110","2013",53.157925,"T","i"
"894","664","23110","2012",91.345231,"T","i"
"894","664","23110","2011",79.405842,"T","i"
"894","664","23110","2010",64.0708,"T","i"
"894","674","23110","2022",2.065282,"T","i"
"894","674","23110","2021",2.239573,"T","i"
"894","674","23110","2020",2.329092,"T","i"
"894","674","23110","2019",1.695701,"T","i"
"894","674","23110","2018",1.843269,"T","i"
"894","674","23110","2017",2.708743,"T","i"
"894","674","23110","2016",1.997204,"T","i"
"894","674","23110","2015",3.249964,"T","i"
"894","674","23110","2014",1.282801,"T","i"
"894","674","23110","2013",1.679482,"T","i"
"894","674","23110","2012",2.88598,"T","i"
"894","674","23110","2011",2.508764,"T","i"
"894","674","23110","2010",2.024266,"T","i"
"894","684","23110","2022",0.303161,"T","i"
"894","684","23110","2021",0.328745,"T","i"
"894","684","23110","2020",0.341885,"T","i"
"894","684","23110","2019",0.24891,"T","i"
"894","684","23110","2018",0.270572,"T","i"
"894","684","23110","2017",0.397614,"T","i"
"894","684","23110","2016",0.293167,"T","i"
"894","684","23110","2015",0.477059,"T","i"
"894","684","23110","2014",0.188301,"T","i"
"894","684","23110","2013",0.24653,"T","i"
"894","684","23110","2012",0.42363,"T","i"
"894","684","23110","2011",0.368259,"T","i"
"894","684","23110","2010",0.29714,"T","i"
"894","5166","23110","2022",0,"I","i"
"894","5166","23110","2021",0,"I","i"
"894","5166","23110","2020",0,"I","i"
"894","5166","23110","2019",0,"I","i"
"894","5166","23110","2018",0,"I","i"
"894","5166","23110","2017",0,"I","i"
"894","5166","23110","2016",0,"I","i"
"894","5166","23110","2015",0,"I","i"
"894","5166","23110","2014",0,"I","i"
"894","665","23110","2022",18.947537,"T","i"
"894","665","23110","2021",20.546538,"T","i"
"894","665","23110","2020",21.367819,"T","i"
"894","665","23110","2019",15.556893,"T","i"
"894","665","23110","2018",16.910721,"T","i"
"894","665","23110","2017",24.850856,"T","i"
"894","665","23110","2016",18.322969,"T","i"
"894","665","23110","2015",29.816183,"T","i"
"894","665","23110","2014",11.768818,"T","i"
"894","665","23110","2013",15.408094,"T","i"
"894","665","23110","2012",26.476879,"T","i"
"894","665","23110","2011",23.016186,"T","i"
"894","665","23110","2010",18.571246,"T","i"
"894","5510","39120.01","2022",35397.67,"I","c"
"894","5510","39120.01","2021",36622.09,"I","c"
"894","5510","39120.01","2020",33667.97,"I","c"
"894","5510","39120.01","2019",23895.15,"I","c"
"894","5510","39120.01","2018",23205.87,"I","c"
"894","5510","39120.01","2017",36014.3,"I","c"
"894","5510","39120.01","2016",27694.98,"I","c"
"894","5510","39120.01","2015",41659.91,"I","c"
"894","5510","39120.01","2014",26425.19,"I","c"
"894","5510","39120.01","2013",32941.65,"I","c"
"894","5510","39120.01","2012",37964.11,"I","c"
"894","5510","39120.01","2011",34349.02,"I","c"
"894","5510","39120.01","2010",26358.7,"I","c"
"894","5610","39120.01","2020",0.074,"","s"
"894","5610","39120.01","2019",0.181,"","s"
"894","5610","39120.01","2018",0.07515,"","i"
"894","5610","39120.01","2017",0.022,"","i"
"894","5610","39120.01","2016",0.374,"T","s"
"894","5610","39120.01","2015",9.164,"","s"
"894","5610","39120.01","2014",19.647,"","i"
"894","5610","39120.01","2013",7,"","-"
"894","5610","39120.01","2012",284,"","-"
"894","5610","39120.01","2011",8,"","-"
"894","5610","39120.01","2010",0,"M","u"
"894","5910","39120.01","2022",11600.06,"","s"
"894","5910","39120.01","2021",14172.225,"","s"
"894","5910","39120.01","2020",6703.2,"","s"
"894","5910","39120.01","2019",5520.64,"","s"
"894","5910","39120.01","2018",6335.77,"","s"
"894","5910","39120.01","2017",9609.5663,"","s"
"894","5910","39120.01","2016",7480.334,"T","s"
"894","5910","39120.01","2015",4759.598,"","s"
"894","5910","39120.01","2014",3085.92,"","s"
"894","5910","39120.01","2013",11359,"T","-"
"894","5910","39120.01","2012",8406,"T","-"
"894","5910","39120.01","2011",5059,"","-"
"894","5910","39120.01","2010",4545,"","-"
"894","5520","39120.01","2022",23797.61,"E","e"
"894","5520","39120.01","2021",22449.865,"E","e"
"894","5520","39120.01","2020",26964.844,"E","e"
"894","5520","39120.01","2019",18374.691,"E","e"
"894","5520","39120.01","2018",16870.17515,"E","e"
"894","5520","39120.01","2017",26404.7557,"E","e"
"894","5520","39120.01","2016",20215.02,"E","e"
"894","5520","39120.01","2015",36909.476,"E","e"
"894","5520","39120.01","2014",23358.917,"E","e"
"894","5520","39120.01","2013",21589.65,"E","e"
"894","5520","39120.01","2012",29842.11,"E","e"
"894","5520","39120.01","2011",29298.02,"E","e"
"894","5520","39120.01","2010",21813.7,"E","e"
"894","5166","39120.01","2022",0,"I","i"
"894","5166","39120.01","2021",0,"I","i"
"894","5166","39120.01","2020",0,"I","i"
"894","5166","39120.01","2019",0,"I","i"
"894","5166","39120.01","2018",0,"I","i"
"894","5166","39120.01","2017",0,"I","i"
"894","5166","39120.01","2016",0,"I","i"
"894","5166","39120.01","2015",0,"I","i"
"894","5166","39120.01","2014",0,"I","i"
"894","5113","23710","2022",12262.078126,"E","u"
"894","5113","23710","2021",10479.335208,"I","-"
"894","5113","23710","2020",10479.335208,"I","-"
"894","5113","23710","2019",9105.40918,"I","-"
"894","5113","23710","2018",7111.800985,"E","u"
"894","5113","23710","2017",4776.554797,"E","u"
"894","5113","23710","2016",3282.562322,"E","u"
"894","5113","23710","2015",1215.525797,"E","u"
"894","5113","23710","2014",372.8,"I","-"
"894","5113","23710","2013",412.744654,"E","u"
"894","5113","23710","2012",0,"E","u"
"894","5113","23710","2011",144.961902,"E","u"
"894","5113","23710","2010",854.23734,"E","u"
"894","5510","23710","2013",0,"I","c"
"894","5510","23710","2012",0,"I","c"
"894","5510","23710","2011",0,"I","c"
"894","5510","23710","2010",0,"I","c"
"894","5610","23710","2022",7120.32099,"","s"
"894","5610","23710","2021",7699.16776,"","s"
"894","5610","23710","2020",4684.89236,"","s"
"894","5610","23710","2019",5239.667604,"","s"
"894","5610","23710","2018",4597.70459,"","s"
"894","5610","23710","2017",4516.43711,"","s"
"894","5610","23710","2016",3604.172504,"T","s"
"894","5610","23710","2015",4111.690326,"","s"
"894","5610","23710","2014",2823.656273,"","s"
"894","5610","23710","2013",1948,"","-"
"894","5610","23710","2012",2405,"","-"
"894","5610","23710","2011",1571,"","-"
"894","5610","23710","2010",934,"","-"
"894","5071","23710","2022",1634.524909,"E","s"
"894","5071","23710","2021",1782.742918,"E","s"
"894","5071","23710","2020",0,"E","s"
"894","5071","23710","2019",1373.926028,"E","s"
"894","5071","23710","2018",1993.608195,"E","s"
"894","5071","23710","2017",2335.246188,"E","s"
"894","5071","23710","2016",1493.992475,"E","s"
"894","5071","23710","2015",2067.036525,"E","s"
"894","5071","23710","2014",842.725797,"E","s"
"894","5071","23710","2013",-39.944654,"E","s"
"894","5071","23710","2012",412.744654,"E","s"
"894","5071","23710","2011",-144.961902,"E","s"
"894","5071","23710","2010",-709.275438,"E","s"
"894","5910","23710","2022",116.331,"","s"
"894","5910","23710","2021",60.059,"","s"
"894","5910","23710","2020",37.135,"","s"
"894","5910","23710","2018",45,"","i"
"894","5910","23710","2015",4.67,"","s"
"894","5910","23710","2013",84,"T","-"
"894","5910","23710","2012",10,"","-"
"894","5910","23710","2011",1,"","-"
"894","5910","23710","2010",7,"","-"
"894","5141","23710","2022",5369.465081,"E","e"
"894","5141","23710","2021",5856.365842,"E","e"
"894","5141","23710","2020",4647.75736,"E","h"
"894","5141","23710","2019",3865.741576,"E","h"
"894","5141","23710","2018",2559.096395,"E","h"
"894","5141","23710","2017",2181.190922,"I","e"
"894","5141","23710","2016",2110.180029,"I","e"
"894","5141","23710","2015",2039.983801,"I","e"
"894","5141","23710","2014",1980.930476,"I","e"
"894","5141","23710","2013",1903.944654,"I","e"
"894","5141","23710","2012",1982.255346,"E","h"
"894","5141","23710","2011",1714.961902,"I","e"
"894","5141","23710","2010",1636.275438,"I","e"
"894","261","23710","2022",18846.822434,"T","i"
"894","261","23710","2021",20555.844105,"T","i"
"894","261","23710","2020",16313.628334,"T","i"
"894","261","23710","2019",13568.752932,"T","i"
