"geographicAreaM49","measuredElementSuaFbs","measuredItemParentCPC","measuredItemChildCPC","timePointYears","Value","flagObservationStatus","flagMethod"
"398","share_Up","01192","39120.09","2020",1,"I","c"
"398","share_Up","01192","39120.09","2019",1,"I","c"
"398","share_Up","01192","39120.09","2018",1,"I","c"
"398","share_Up","01192","39120.09","2017",1,"I","c"
"398","share_Up","01192","39120.09","2016",1,"I","c"
"398","share_Up","01192","39120.09","2015",1,"I","c"
"398","share_Up","01192","39120.09","2014",1,"I","c"
"398","share_Up","01199.90","23120.90","2022",1,"I","c"
"398","share_Up","01199.90","23120.90","2021",1,"I","c"
"398","share_Up","01199.90","23120.90","2020",1,"I","c"
"398","share_Up","01199.90","23120.90","2019",1,"I","c"
"398","share_Up","01199.90","23120.90","2018",1,"I","c"
"398","share_Up","01199.90","23120.90","2017",1,"I","c"
"398","share_Up","01199.90","23120.90","2016",1,"I","c"
"398","share_Up","01199.90","23120.90","2015",1,"I","c"
"398","share_Up","01199.90","23120.90","2014",1,"I","c"
"398","share_Up","01199.90","39120.13","2022",1,"I","c"
"398","share_Up","01199.90","39120.13","2021",1,"I","c"
"398","share_Up","01199.90","39120.13","2020",1,"I","c"
"398","share_Up","01199.90","39120.13","2019",1,"I","c"
"398","share_Up","01199.90","39120.13","2018",1,"I","c"
"398","share_Up","01199.90","39120.13","2017",1,"I","c"
"398","share_Up","01199.90","39120.13","2016",1,"I","c"
"398","share_Up","01199.90","39120.13","2015",1,"I","c"
"398","share_Up","01199.90","39120.13","2014",1,"I","c"
"398","share_Up","01221","24110","2022",0.0254861119,"I","c"
"398","share_Up","01221","24110","2021",0.0254861119,"I","c"
"398","share_Up","01221","24110","2020",0.0254861119,"I","c"
"398","share_Up","01221","24110","2019",0.0254861119,"I","c"
"398","share_Up","01221","24110","2018",0.0254861119,"I","c"
"398","share_Up","01221","24110","2017",0.0261590297,"I","c"
"398","share_Up","01221","24110","2016",0.0240609937,"I","c"
"398","share_Up","01221","24110","2015",0.0262383123,"I","c"
"398","share_Up","01221","24110","2014",0.0281777831,"I","c"
"398","share_Up","01221","2413","2022",0.9745138881,"I","c"
"398","share_Up","01221","2413","2021",0.9745138881,"I","c"
"398","share_Up","01221","2413","2020",0.9745138881,"I","c"
"398","share_Up","01221","2413","2019",0.9745138881,"I","c"
"398","share_Up","01221","2413","2018",0.9745138881,"I","c"
"398","share_Up","01221","2413","2017",0.9738409703,"I","c"
"398","share_Up","01221","2413","2016",0.9759390063,"I","c"
"398","share_Up","01221","2413","2015",0.9737616877,"I","c"
"398","share_Up","01221","2413","2014",0.9718222169,"T","-"
"398","share_Up","01234","21399.01","2022",0.2857142857,"I","c"
"398","share_Up","01234","21399.01","2021",0.2857142857,"I","c"
"398","share_Up","01234","21399.01","2020",0.2857142857,"I","c"
"398","share_Up","01234","21399.01","2019",0.2857142857,"I","c"
"398","share_Up","01234","21399.01","2018",0.2857142857,"I","c"
"398","share_Up","01234","21399.01","2017",0.2857142857,"I","c"
"398","share_Up","01234","21399.01","2016",0.2857142857,"I","c"
