"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"894","5510","S2514","2018",NA,NA,NA
"894","5510","S2514","2017",NA,NA,NA
"894","5510","S2514","2016",NA,NA,NA
"894","5510","S2514","2015",NA,NA,NA
"894","5510","S2514","2014",NA,NA,NA
"894","5610","S2514","2022",NA,NA,NA
"894","5610","S2514","2021",NA,NA,NA
"894","5610","S2514","2020",NA,NA,NA
"894","5610","S2514","2019",NA,NA,NA
"894","5610","S2514","2018",NA,NA,NA
"894","5610","S2514","2017",NA,NA,NA
"894","5610","S2514","2016",NA,NA,NA
"894","5610","S2514","2015",NA,NA,NA
"894","5610","S2514","2014",NA,NA,NA
"894","5071","S2514","2022",NA,NA,NA
"894","5071","S2514","2021",NA,NA,NA
"894","5071","S2514","2020",NA,NA,NA
"894","5071","S2514","2019",NA,NA,NA
"894","5071","S2514","2018",NA,NA,NA
"894","5071","S2514","2017",NA,NA,NA
"894","5071","S2514","2016",NA,NA,NA
"894","5071","S2514","2015",NA,NA,NA
"894","5071","S2514","2014",NA,NA,NA
"894","5910","S2514","2022",NA,NA,NA
"894","5910","S2514","2021",NA,NA,NA
"894","5910","S2514","2020",NA,NA,NA
"894","5910","S2514","2019",NA,NA,NA
"894","5910","S2514","2018",NA,NA,NA
"894","5910","S2514","2017",NA,NA,NA
"894","5910","S2514","2016",NA,NA,NA
"894","5910","S2514","2015",NA,NA,NA
"894","5910","S2514","2014",NA,NA,NA
"894","5520","S2514","2022",NA,NA,NA
"894","5520","S2514","2021",NA,NA,NA
"894","5520","S2514","2020",NA,NA,NA
"894","5520","S2514","2019",NA,NA,NA
"894","5520","S2514","2018",NA,NA,NA
"894","5520","S2514","2017",NA,NA,NA
"894","5520","S2514","2016",NA,NA,NA
"894","5520","S2514","2015",NA,NA,NA
"894","5520","S2514","2014",NA,NA,NA
"894","5525","S2514","2022",NA,NA,NA
"894","5525","S2514","2021",NA,NA,NA
"894","5525","S2514","2020",NA,NA,NA
"894","5525","S2514","2019",NA,NA,NA
"894","5525","S2514","2018",NA,NA,NA
"894","5525","S2514","2017",NA,NA,NA
"894","5525","S2514","2016",NA,NA,NA
"894","5525","S2514","2015",NA,NA,NA
"894","5525","S2514","2014",NA,NA,NA
