"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"894","674","S2514","2012",19.284872,"I","s"
"894","674","S2514","2011",19.258281,"I","s"
"894","674","S2514","2010",19.257853,"I","s"
"894","684","S2514","2013",9.136587,"I","s"
"894","684","S2514","2012",7.92529,"I","s"
"894","684","S2514","2011",7.914362,"I","s"
"894","684","S2514","2010",7.914186,"I","s"
"894","5165","S2514","2013",108651.161284,"I","s"
"894","5165","S2514","2012",96635.888182,"I","s"
"894","5165","S2514","2011",90050.420884,"I","s"
"894","5165","S2514","2010",108152.788257,"I","s"
"894","5166","S2514","2013",0,"I","s"
"894","5166","S2514","2012",0,"I","s"
"894","5166","S2514","2011",0,"I","s"
"894","5166","S2514","2010",0,"I","s"
"894","665","S2514","2013",350.060786,"T","i"
"894","665","S2514","2012",303.650955,"T","i"
"894","665","S2514","2011",303.232257,"T","i"
"894","665","S2514","2010",303.225525,"T","i"
"894","5510","S2515","2013",0,"I","s"
"894","5510","S2515","2012",0,"I","s"
"894","5510","S2515","2011",0,"I","s"
"894","5510","S2515","2010",0,"I","s"
"894","5610","S2515","2013",3,"I","s"
"894","5610","S2515","2012",3,"I","s"
"894","5610","S2515","2011",3,"I","s"
"894","5610","S2515","2010",0,"I","s"
"894","5071","S2515","2013",0,"I","s"
"894","5071","S2515","2012",0,"I","s"
"894","5910","S2515","2013",30,"I","s"
"894","5910","S2515","2012",30,"I","s"
"894","5910","S2515","2011",0,"I","s"
"894","5910","S2515","2010",0,"I","s"
"894","5141","S2515","2013",3,"I","s"
"894","5141","S2515","2012",3,"I","s"
"894","5141","S2515","2011",3,"I","s"
"894","5141","S2515","2010",0,"I","s"
"894","261","S2515","2013",9.87,"I","s"
"894","261","S2515","2012",9.87,"I","s"
"894","261","S2515","2011",9.87,"I","s"
"894","261","S2515","2010",0,"I","s"
"894","271","S2515","2013",0.351,"I","s"
"894","271","S2515","2012",0.351,"I","s"
"894","271","S2515","2011",0.351,"I","s"
"894","271","S2515","2010",0,"I","s"
"894","281","S2515","2013",0.057,"I","s"
"894","281","S2515","2012",0.057,"I","s"
"894","281","S2515","2011",0.057,"I","s"
"894","281","S2515","2010",0,"I","s"
"894","664","S2515","2013",0.001775,"I","s"
"894","664","S2515","2012",0.001834,"I","s"
"894","664","S2515","2011",0.001896,"I","s"
"894","664","S2515","2010",0,"I","s"
"894","674","S2515","2013",0.000063,"I","s"
"894","674","S2515","2012",0.000065,"I","s"
"894","674","S2515","2011",0.000067,"I","s"
